x,y
151,171
139,190
135,210
132,229
132,247
132,262
133,277
136,291
136,297
144,314
148,325
157,332
162,343
171,344
178,348
190,353
204,353
212,353
223,355
237,355
245,355
256,355
274,354
284,352
301,352
312,350
328,347
339,342
345,334
352,326
357,321
363,316
367,308
372,290
377,279
380,267
382,257
383,245
384,251
382,265
377,275
375,289
373,303
365,311
360,319
354,326
344,334
335,342
322,349
310,356
298,361
283,363
263,366
254,367
236,367
221,365
201,362
191,359
182,359
170,355
150,345
144,337
138,323
137,305
137,293
137,281
135,266
131,246
132,233
132,220
132,201
135,192
141,184
144,179
135,194
133,202
129,220
129,241
127,255
125,285
132,295
139,313
144,321
151,333
163,341
181,350
192,354
206,359
230,361
261,358
277,357
292,354
311,350
320,345
328,341
342,337
348,328
362,319
369,306
371,290
378,275
380,253
381,243
381,232
385,251
382,263
368,280
361,297
357,308
354,314
345,323
331,337
321,342
311,345
299,346
287,346
268,345
247,345
229,345
198,342
188,340
162,331
156,325
149,306
142,296
139,283
133,270
132,261
132,252
132,239
132,211
133,189
142,182
146,174
140,179
136,203
137,220
136,245
136,266
138,283
145,309
148,319
158,334
165,347
186,358
217,368
236,370
257,371
269,372
291,372
